,funds,link,location,title
141,"
$0 raised of $3.0M                    ",https://www.gofundme.com/make-me-a-republican,"Belding, MI",Make me a Millionaire
142,"
$0 raised of $30.0M                    ",https://www.gofundme.com/republican-pro-constitution-president-race,"Snowflake, AZ",Republican pro constitution president race
143,"
$0 raised of $725                    ",https://www.gofundme.com/6v17la8,"Baton Rouge, LA",Citizenship To Vote Republican
144,"
$0 raised of $500                    ",https://www.gofundme.com/6td8yig,"Fontana, CA",My Family Kicked Me Out Because I Am Republican
145,"
$0 raised of $10,000                    ",https://www.gofundme.com/fight-for-life-march,"Mcallen, TX",Fight for Life March
146,"
$0 raised of $565                    ",https://www.gofundme.com/Republicannotes,"Lithonia, GA",Republican Notes
147,"
$0 raised of $100,000                    ",https://www.gofundme.com/wheres-our-republican-sotos,"Haskell, NJ",Trip to our capital to protest Nancy and chuck
148,"
$0 raised of $30,000                    ",https://www.gofundme.com/help-2-young-republican-women-live-their-dream,"Silver Spring, MD",Help 2 Young Republican Women Live Their Dream
149,"
$0 raised of $10,000                    ",https://www.gofundme.com/fund-for-minority-republican-organization,"Torrington, WY",Fund For Minorities for President Trump
150,"
$0 raised of $100,000                    ",https://www.gofundme.com/donate-if-you-think-republicans-are-stupid,"Walford, IA",Donate if you think Republicans are stupid.
151,"
$0 raised of $25,000                    ",https://www.gofundme.com/onboardwithcom-a-voice-4-conservative-republicans,"Huntington Beach, CA",OnBoardWith.com A Voice 4 Conservative Republicans
152,"
$0 raised of $6,000                    ",https://www.gofundme.com/9gmbb-please-help-me-get-on-my-feet,"Waldorf, MD",Please help a fellow republican
153,"
$0 raised of $10,000                    ",https://www.gofundme.com/republican-student-in-need-of-a-confidence-boost,"Valparaiso, IN",Republican student in need of  a Confidence boost
154,"
$0 raised of $10.0M                    ",https://www.gofundme.com/republican-reset,"Reno, NV",Republican Reset
155,"
$0 raised of $2,500                    ",https://www.gofundme.com/donate-if-you-are-a-true-republican,"Rancho Cucamonga, CA",DONATE IF YOU ARE A TRUE REPUBLICAN
156,"
$0 raised of $10.0M                    ",https://www.gofundme.com/6p6x6i0,"Norfolk, VA",Supporting Republican Agendas
157,"
$0 raised of $5,000                    ",https://www.gofundme.com/help-my-republican-family-move-from-ca-to-tx,"Chico, CA",Help my Republican Family move from CA to TX
